label1,label2,r1,r2,r3,r4,r1p,r2p,r3p,r4p
115.0,115.0,230.0,0.0,115.0,115.0,220.85622,0.34864733,110.59488,110.211494
113.0,113.0,226.0,0.0,113.0,113.0,254.70688,-0.28913954,127.15849,127.32098
121.5,121.5,243.0,0.0,121.5,121.5,249.48186,-0.2753723,124.54984,124.70616
96.0,96.0,192.0,0.0,96.0,96.0,207.20001,0.4125645,103.800766,103.381
95.0,95.0,190.0,0.0,95.0,95.0,187.09851,0.22609065,93.63081,93.43346
117.0,117.0,234.0,0.0,117.0,117.0,259.67328,0.11303066,129.85641,129.66054
100.0,100.0,200.0,0.0,100.0,100.0,235.20644,-0.004483003,117.565346,117.487526
41.0,41.0,82.0,0.0,41.0,41.0,219.98497,0.44823954,110.21246,109.74538
114.0,114.0,228.0,0.0,114.0,114.0,226.28606,0.39859316,113.33545,112.903915
126.0,126.0,252.0,0.0,126.0,126.0,236.6044,0.03140376,118.28289,118.17438
92.0,92.0,184.0,0.0,92.0,92.0,207.21614,0.63150716,103.92389,103.29775
93.0,93.0,186.0,0.0,93.0,93.0,243.35733,-0.06519391,121.602875,121.573586
108.0,108.0,216.0,0.0,108.0,108.0,225.19576,0.40884897,112.795395,112.356995
99.0,99.0,198.0,0.0,99.0,99.0,239.26964,-0.18607403,119.493225,119.574875
103.0,103.0,206.0,0.0,103.0,103.0,226.97212,0.04621623,113.48212,113.36188
133.0,133.0,266.0,0.0,133.0,133.0,223.94395,2.0832531,113.01617,110.931885
115.0,115.0,209.0,21.0,115.0,94.0,219.91812,0.8994782,110.413864,109.502686
113.0,113.0,227.0,1.0,114.0,113.0,242.98495,11.099759,127.049576,115.94139
121.5,121.5,228.5,14.5,121.5,107.0,233.38924,17.569462,125.484695,107.9137
96.0,96.0,201.0,9.0,105.0,96.0,208.1438,1.431041,104.79016,103.35699
95.0,95.0,220.5,30.5,125.5,95.0,200.7981,14.101663,107.45053,93.350235
117.0,117.0,230.0,4.0,117.0,113.0,234.96306,27.193161,131.08028,103.88232
100.0,100.0,244.0,44.0,144.0,100.0,227.36182,8.357799,117.86625,109.49472
41.0,41.0,147.0,65.0,106.0,41.0,209.33278,11.300017,110.318115,99.0179
114.0,114.0,234.0,6.0,120.0,114.0,226.92882,0.8855946,113.912476,113.01476
126.0,126.0,244.5,7.5,126.0,118.5,228.57567,7.8120737,118.19837,110.38013
92.0,92.0,199.0,15.0,107.0,92.0,207.4376,0.6655934,104.052,103.389786
93.0,93.0,218.0,32.0,125.0,93.0,221.34186,23.355968,122.350975,98.99568
108.0,108.0,198.0,18.0,108.0,90.0,222.08406,3.6978447,112.89592,109.18366
99.0,99.0,207.5,9.5,108.5,99.0,231.28445,8.259067,119.779076,111.506325
103.0,103.0,237.0,31.0,134.0,103.0,231.66402,3.5484707,117.61256,114.04652
133.0,133.0,256.0,10.0,133.0,123.0,221.52397,2.157245,111.84168,109.68657
115.0,115.0,209.0,21.0,115.0,94.0,219.76549,1.3719075,110.57236,109.19206
113.0,113.0,223.0,3.0,113.0,110.0,246.8766,8.089316,127.48673,119.395294
121.5,121.5,260.5,17.5,139.0,121.5,244.47209,5.222543,124.85132,119.624435
96.0,96.0,185.0,7.0,96.0,89.0,212.58766,5.688259,109.14187,103.4452
95.0,95.0,210.0,20.0,115.0,95.0,206.33733,19.148949,112.74729,93.59068
117.0,117.0,217.0,17.0,117.0,100.0,239.51408,22.21285,130.86725,108.64844
100.0,100.0,213.0,13.0,113.0,100.0,236.65228,0.68426824,118.67293,117.98116
41.0,41.0,152.0,70.0,111.0,41.0,223.96725,3.7080586,113.84254,110.12353
114.0,114.0,222.0,6.0,114.0,108.0,214.61244,12.33215,113.47557,101.140015
126.0,126.0,226.0,26.0,126.0,100.0,234.60753,0.761863,117.68682,116.920876
92.0,92.0,212.0,28.0,120.0,92.0,212.86572,6.017308,109.44513,103.42012
93.0,93.0,201.5,15.5,108.5,93.0,230.99321,13.665853,122.3348,108.66068
108.0,108.0,212.0,4.0,108.0,104.0,219.37312,6.2349577,112.80754,106.56774
99.0,99.0,207.0,9.0,108.0,99.0,234.93802,4.884879,119.916,115.02266
103.0,103.0,200.0,6.0,103.0,97.0,224.09407,3.1282094,113.616394,110.476425
133.0,133.0,253.0,13.0,133.0,120.0,211.07994,12.916135,111.99818,99.0936
115.0,115.0,228.0,2.0,115.0,113.0,217.68716,3.274379,110.48506,107.20244
113.0,113.0,220.0,6.0,113.0,107.0,242.55136,12.196624,127.37951,115.17947
121.5,121.5,247.5,4.5,126.0,121.5,235.09315,16.079044,125.59199,109.507416
96.0,96.0,191.0,1.0,96.0,95.0,214.73224,7.743148,111.24244,103.489365
95.0,95.0,196.0,6.0,101.0,95.0,189.988,2.0683777,96.021484,93.97298
117.0,117.0,219.0,15.0,117.0,102.0,243.24243,19.371176,131.30972,111.9339
